player_id,player,img_url,born,birth_place,height,role,bat_style,bowl_style
49,Stephen Fleming,/a/img/v1/152x152/i1/c151497/stephen-fleming.jpg," Apr 01, 1973 (48 years) "," Christchurch, Canterbury ", -- , Batsman , Left Handed Bat ," New Zealand, Chennai Super Kings, ICC World XI, Middlesex "
50,Nathan Astle,/a/img/v1/152x152/i1/c154480/nathan-astle.jpg," Sep 15, 1971 (50 years) "," Christchurch, Canterbury ", -- , Batting Allrounder , Right Handed Bat , Right-arm medium 
52,Chris Cairns,/a/img/v1/152x152/i1/c154547/chris-cairns.jpg," Jun 13, 1970 (51 years) "," Picton, Marlborough ", 194 cm , Batting Allrounder , Right Handed Bat , Right-arm fast-medium 
56,Hamish Marshall,/a/img/v1/152x152/i1/c156138/hamish-marshall.jpg," Feb 15, 1979 (42 years) "," Warkworth, Auckland ", -- , Batsman , Right Handed Bat , Right-arm medium 
57,Craig McMillan,/a/img/v1/152x152/i1/c151884/craig-mcmillan.jpg," Sep 13, 1976 (45 years) "," Christchurch, Canterbury ", -- , Batsman , Right Handed Bat , Right-arm medium 
58,Scott Styris,/a/img/v1/152x152/i1/c151794/scott-styris.jpg," Jul 10, 1975 (46 years) "," Brisbane, Queensland, Australia ", 5 ft 10 in , Batting Allrounder , Right Handed Bat , Right-arm medium 
59,Jacob Oram,/a/img/v1/152x152/i1/c151503/jacob-oram.jpg," Jul 28, 1978 (43 years) "," Palmerston North, Manawatu ", 1.98 m , Bowling Allrounder , Left Handed Bat , Right-arm fast-medium 
61,Andrew Flintoff,/a/img/v1/152x152/i1/c182026/andrew-flintoff.jpg," Dec 06, 1977 (43 years) "," Preston, Lancashire ", 6 ft 4 in , -- , Right Handed Bat , Right-arm fast 
62,Steve Harmison,/a/img/v1/152x152/i1/c182026/steve-harmison.jpg," Oct 23, 1978 (42 years) "," Ashington, Northumberland ", 6 ft 4 in , Batting Allrounder , Right Handed Bat , Right-arm fast-medium 
63,Darren Gough,/a/img/v1/152x152/i1/c182026/darren-gough.jpg," Sep 18, 1970 (51 years) "," Monk Bretton, Barnsley, Yorkshire ", 5 ft 11 in , Bowler , Right Handed Bat , Right-arm fast-medium 
65,James Anderson,/a/img/v1/152x152/i1/c173031/james-anderson.jpg," Jul 30, 1982 (39 years) "," Burnley, Lancashire ", 6 ft 2 in , Bowler , Left Handed Bat , Right-arm fast-medium 
66,Paul Collingwood,/a/img/v1/152x152/i1/c157662/paul-collingwood.jpg," May 26, 1976 (45 years) "," Shotley Bridge, Co Durham ", 5 ft 11 in , Batsman , Right Handed Bat , Right-arm medium 
69,Yuvraj Singh,/a/img/v1/152x152/i1/c171064/yuvraj-singh.jpg," Dec 12, 1981 (39 years) ", Chandigarh , 6 ft 2 in (188 cm) , Batting Allrounder , Left Handed Bat , Left-arm orthodox 
70,Mohammad Kaif,/a/img/v1/152x152/i1/c153688/mohammad-kaif.jpg," Dec 01, 1980 (40 years) "," Allahabad, Uttar Pradesh ", -- , Batsman , Right Handed Bat , Right-arm offbreak 
71,Zaheer Khan,/a/img/v1/152x152/i1/c150980/zaheer-khan.jpg," Oct 07, 1978 (43 years) "," Shrirampur, Maharashtra ", -- , Bowler , Right Handed Bat , Left-arm fast-medium 
73,Irfan Pathan,/a/img/v1/152x152/i1/c155113/irfan-pathan.jpg," Oct 27, 1984 (36 years) "," Baroda, Gujarat ", 6 ft 1 in (185 cm) , Bowling Allrounder , Left Handed Bat , Left-arm fast-medium 
74,Parthiv Patel,/a/img/v1/152x152/i1/c152612/parthiv-patel.jpg," Mar 09, 1985 (36 years) "," Ahmedabad, Gujarat ", -- , WK-Batsman , Left Handed Bat ," India, Chennai Super Kings, India Green, Kochi Tuskers Kerala, Deccan Chargers, West Zone, Gujarat, Board Presidents XI, Sunrisers Hyderabad, Royal Challengers Bangalore, Mumbai Indians, India Red, India B, India A "
75,Harbhajan Singh,/a/img/v1/152x152/i1/c153922/harbhajan-singh.jpg," Jul 03, 1980 (41 years) "," Jullundur (now Jalandhar), Punjab ", 5 ft 11 in (180 cm) , Bowler , Right Handed Bat , Right-arm offbreak 
77,Kamran Akmal,/a/img/v1/152x152/i1/c182026/kamran-akmal.jpg," Jan 13, 1982 (39 years) "," Lahore, Punjab ", -- , WK-Batsman , Right Handed Bat ," Pakistan, Asia XI, Rajasthan Royals, Sylhet Royals, Wayamba United, Barisal Burners, Trinbago Knight Riders, Chittagong Vikings, Peshawar Zalmi, Saint Lucia Kings, Hong Kong Island United, Toronto Nationals, Balkh Legends, Maratha Arabians, Swift Gallopers "
78,Abdul Razzaq,/a/img/v1/152x152/i1/c155831/abdul-razzaq.jpg," Dec 02, 1979 (41 years) "," Lahore, Punjab ", -- , Bowling Allrounder , Right Handed Bat , Right-arm fast-medium 
79,Yasir Hameed,/a/img/v1/152x152/i1/c155807/yasir-hameed.jpg," Feb 28, 1978 (43 years) "," Peshawar, North-West Frontier Province ", -- , Batsman , Right Handed Bat , Right-arm offbreak 
80,Taufeeq Umar,/a/img/v1/152x152/i1/c155554/taufeeq-umar.jpg," Jun 20, 1981 (40 years) "," Lahore, Punjab ", -- , WK-Batsman , Left Handed Bat , Right-arm offbreak 
81,Khurram Khan,/a/img/v1/152x152/i1/c156993/khurram-khan.jpg," Jun 21, 1971 (50 years) "," Multan, Punjab, Pakistan ", -- , Batting Allrounder , Left Handed Bat , Left-arm orthodox 
82,Arshad Ali,/a/img/v1/152x152/i1/c182026/arshad-ali.jpg," Apr 06, 1976 (45 years) ", -- , -- , Bowler , Right Handed Bat , 
87,Mohammad Tauqir,/a/img/v1/152x152/i1/c156438/mohammad-tauqir.jpg," Jan 14, 1972 (49 years) ", Dubai , -- , Bowler , Right Handed Bat , Right-arm offbreak 
96,Lakshmipathy Balaji,/a/img/v1/152x152/i1/c155263/lakshmipathy-balaji.jpg," Sep 27, 1981 (40 years) "," Madras (now Chennai), Tamil Nadu ", -- , Bowler , Right Handed Bat , Right-arm fast-medium 
98,Anil Kumble,/a/img/v1/152x152/i1/c152474/anil-kumble.jpg," Oct 17, 1970 (51 years) "," Bangalore, Karnataka ", 6 ft 1 in , Bowler , Right Handed Bat , Right-arm legbreak 
100,Marvan Atapattu,/a/img/v1/152x152/i1/c155577/marvan-atapattu.jpg," Nov 22, 1970 (50 years) ", Kalutara , -- , Batsman , Right Handed Bat , Right-arm legbreak 
101,Mahela Jayawardene,/a/img/v1/152x152/i1/c153241/mahela-jayawardene.jpg," May 27, 1977 (44 years) ", Colombo , -- , Batsman , Right Handed Bat , Right-arm medium 
102,Sanath Jayasuriya,/a/img/v1/152x152/i1/c151341/sanath-jayasuriya.jpg," Jun 30, 1969 (52 years) ", Matara , -- , Batting Allrounder , Left Handed Bat , Left-arm orthodox 
104,Kumar Sangakkara,/a/img/v1/152x152/i1/c155723/kumar-sangakkara.jpg," Oct 27, 1977 (43 years) ", Matale , -- , Batsman , Left Handed Bat , Right-arm offbreak 
105,Tillakaratne Dilshan,/a/img/v1/152x152/i1/c154992/tillakaratne-dilshan.jpg," Oct 14, 1976 (45 years) ", Kalutara , -- , Batting Allrounder , Right Handed Bat , Right-arm offbreak 
106,Thilina Kandamby,/a/img/v1/152x152/i1/c155726/thilina-kandamby.jpg," Jun 04, 1982 (39 years) ", Colombo , -- , Batsman , Left Handed Bat , Right-arm legbreak 
107,Upul Chandana,/a/img/v1/152x152/i1/c160010/upul-chandana.jpg," May 07, 1972 (49 years) ", Galle , -- , Bowler , Right Handed Bat , Right-arm legbreak 
108,Chaminda Vaas,/a/img/v1/152x152/i1/c155580/chaminda-vaas.jpg," Jan 27, 1974 (47 years) ", Mattumagala , -- , Bowler , Left Handed Bat , Left-arm fast-medium 
109,Nuwan Zoysa,/a/img/v1/152x152/i1/c155715/nuwan-zoysa.jpg," May 13, 1978 (43 years) ", Colombo , -- , -- , Left Handed Bat , Left-arm fast-medium 
110,Muttiah Muralitharan,/a/img/v1/152x152/i1/c154990/muttiah-muralitharan.jpg," Apr 17, 1972 (49 years) ", Kandy , 5 ft 7 in , Bowler , Right Handed Bat , Right-arm offbreak 
111,Lasith Malinga,/a/img/v1/152x152/i1/c170724/lasith-malinga.jpg," Aug 28, 1983 (38 years) ", Galle , -- , Bowler , Right Handed Bat , Right-arm fast 
112,Farveez Maharoof,/a/img/v1/152x152/i1/c153242/farveez-maharoof.jpg," Sep 07, 1984 (37 years) ", Colombo , -- , Batting Allrounder , Right Handed Bat , Right-arm fast-medium 
113,Avishka Gunawardene,/a/img/v1/152x152/i1/c155052/avishka-gunawardene.jpg," May 26, 1977 (44 years) ", Colombo , -- , Batsman , Left Handed Bat ," Sri Lanka, Delhi Giants "
114,Habibul Bashar,/a/img/v1/152x152/i1/c155467/habibul-bashar.jpg," Aug 17, 1972 (49 years) "," Nagakanda, Kushtia ", -- , Batsman , Right Handed Bat , Right-arm offbreak 
115,Javed Omar,/a/img/v1/152x152/i1/c155745/javed-omar.jpg," Nov 25, 1976 (44 years) ", Dhaka , -- , Batsman , Right Handed Bat , Right-arm legbreak 
116,Rajin Saleh,/a/img/v1/152x152/i1/c155474/rajin-saleh.jpg," Nov 20, 1983 (37 years) "," Sylhet, Bangladesh ", -- , Batting Allrounder , Right Handed Bat , Right-arm offbreak 
118,Mohammad Ashraful,/a/img/v1/152x152/i1/c155769/mohammad-ashraful.jpg," Jul 07, 1984 (37 years) ", Dhaka , 5ft 4 in , Batsman , Right Handed Bat , Right-arm legbreak 
119,Alok Kapali,/a/img/v1/152x152/i1/c182026/alok-kapali.jpg," Jan 01, 1984 (37 years) "," Sylhet, Bangladesh ", -- , Batsman , Right Handed Bat , Right-arm legbreak 
121,Khaled Mahmud,/a/img/v1/152x152/i1/c182026/khaled-mahmud.jpg," Jul 26, 1971 (50 years) ", Dhaka , -- , Bowler , Right Handed Bat , Right-arm medium 
122,Khaled Mashud,/a/img/v1/152x152/i1/c182026/khaled-mashud.jpg," Feb 08, 1976 (45 years) ", Rajshahi , -- , WK-Batsman , Right Handed Bat ," Bangladesh, Bangladesh Legends "
123,Mohammad Rafique,/a/img/v1/152x152/i1/c156221/mohammad-rafique.jpg," Sep 05, 1970 (51 years) ", Dhaka , -- , Bowler , Left Handed Bat , Left-arm orthodox 
125,Tapash Baisya,/a/img/v1/152x152/i1/c155770/tapash-baisya.jpg," Dec 15, 1982 (38 years) "," Sylhet, Bangladesh ", -- , Bowler , Right Handed Bat , Right-arm fast-medium 
127,Abdur Razzak,/a/img/v1/152x152/i1/c155896/abdur-razzak.jpg," Jun 15, 1982 (39 years) ", Khulna , -- , Bowler , Left Handed Bat , Left-arm orthodox 
129,Imran Farhat,/a/img/v1/152x152/i1/c155847/imran-farhat.jpg," May 20, 1982 (39 years) "," Lahore, Punjab ", -- , Batsman , Left Handed Bat , Right-arm legbreak 
130,Younis Khan,/a/img/v1/152x152/i1/c156783/younis-khan.jpg," Nov 29, 1977 (43 years) "," Mardan, North-West Frontier Province ", -- , Batsman , Right Handed Bat , Right-arm medium 
131,Imran Nazir,/a/img/v1/152x152/i1/c182026/imran-nazir.jpg," Dec 16, 1981 (39 years) "," Gujranwala, Punjab ", -- , Batsman , Right Handed Bat , Right-arm legbreak 
132,Danish Kaneria,/a/img/v1/152x152/i1/c156006/danish-kaneria.jpg," Dec 16, 1980 (40 years) "," Karachi, Sind ", -- , Bowler , Right Handed Bat , Right-arm legbreak 
135,Shane Warne,/a/img/v1/152x152/i1/c151580/shane-warne.jpg," Sep 13, 1969 (52 years) "," Ferntree Gully, Victoria ", 1.83 m , Bowler , Right Handed Bat , Right-arm legbreak 
136,Damien Martyn,/a/img/v1/152x152/i1/c154364/damien-martyn.jpg," Oct 21, 1971 (49 years) "," Darwin, Northern Territory ", 1.81 m , Batsman , Right Handed Bat , Right-arm medium 
138,Michael Clarke,/a/img/v1/152x152/i1/c151582/michael-clarke.jpg," Apr 02, 1981 (40 years) "," Liverpool, New South Wales ", 1.78 m , Batsman , Right Handed Bat , Left-arm orthodox 
140,Brad Hogg,/a/img/v1/152x152/i1/c178328/brad-hogg.jpg," Feb 06, 1971 (50 years) "," Narrogin, Western Australia ", 1.83 m , Bowler , Left Handed Bat , Left-arm chinaman 
141,Michael Kasprowicz,/a/img/v1/152x152/i1/c154365/michael-kasprowicz.jpg," Feb 10, 1972 (49 years) "," South Brisbane, Queensland ", 1.94 m , Bowler , Right Handed Bat , Right-arm fast-medium 
142,Shahid Afridi,/a/img/v1/152x152/i1/c146389/shahid-afridi.jpg," Mar 01, 1980 (41 years) ", Khyber Agency , 5 ft 11 in , Bowling Allrounder , Right Handed Bat , Right-arm legbreak 
143,Salman Butt,/a/img/v1/152x152/i1/c155965/salman-butt.jpg," Oct 07, 1984 (37 years) "," Lahore, Punjab ", -- , Batsman , Left Handed Bat , Right-arm offbreak 
145,Dinesh Karthik,/a/img/v1/152x152/i1/c170680/dinesh-karthik.jpg," Jun 01, 1985 (36 years) "," Madras (now Chennai), Tamil Nadu ", -- , WK-Batsman , Right Handed Bat ," India, Delhi Capitals, India A, India Blue, India U19, Board Presidents XI, Tamil Nadu, Punjab Kings, Mumbai Indians, Rest of India, East Zone, South Zone, Royal Challengers Bangalore, India B, Gujarat Lions, TUTI Patriots, India Red, Kolkata Knight Riders, World XI, Karaikudi Kaalai, India C, IDream Tiruppur Tamizhans "
146,Ajit Agarkar,/a/img/v1/152x152/i1/c156165/ajit-agarkar.jpg," Dec 04, 1977 (43 years) "," Bombay (now Mumbai), Maharashtra ", -- , Bowler , Right Handed Bat , Right-arm fast-medium 
157,Matthew Hayden,/a/img/v1/152x152/i1/c180327/matthew-hayden.jpg," Oct 29, 1971 (49 years) "," Kingaroy, Queensland ", 1.88 m , Batting Allrounder , Left Handed Bat , Right-arm medium 
158,Shane Watson,/a/img/v1/152x152/i1/c180329/shane-watson.jpg," Jun 17, 1981 (40 years) "," Ipswich, Queensland ", 1.83 m , Batting Allrounder , Right Handed Bat , Right-arm fast-medium 
159,Brad Haddin,/a/img/v1/152x152/i1/c151545/brad-haddin.jpg," Oct 23, 1977 (43 years) "," Cowra, New South Wales ", 1.80 m , WK-Batsman , Right Handed Bat ," Australia, New South Wales, Kolkata Knight Riders, Sydney Sixers, Australians, Sydney Thunder, Islamabad United, Ponting XI, Australia Legends "
161,Michael Vaughan,/a/img/v1/152x152/i1/c182026/michael-vaughan.jpg," Oct 29, 1974 (46 years) ", Manchester , 6 ft 2 in , Batsman , Right Handed Bat , Right-arm offbreak 
162,Kabir Ali,/a/img/v1/152x152/i1/c182026/kabir-ali.jpg," Nov 24, 1980 (40 years) "," Moseley, Birmingham, Warwickshire ", 6 ft 0 in , Bowler , Right Handed Bat , Right-arm fast-medium 
164,Ashley Giles,/a/img/v1/152x152/i1/c160131/ashley-giles.jpg," Mar 19, 1973 (48 years) "," Chertsey, Surrey ", 6 ft 4 in , Bowler , Right Handed Bat , Left-arm orthodox 
165,Geraint Jones,/a/img/v1/152x152/i1/c182026/geraint-jones.jpg," Jul 14, 1976 (45 years) "," Kundiawa, Papua New Guinea ", 5 ft 10 in , WK-Batsman , Right Handed Bat ," England, Kent, Gloucestershire, Papua New Guinea, Capricorn Commanders "
166,Vikram Solanki,/a/img/v1/152x152/i1/c182026/vikram-solanki.jpg," Apr 01, 1976 (45 years) "," Udaipur, Rajasthan, India ", 6 ft 0 in , Batsman , Right Handed Bat , Right-arm offbreak 
167,Sir Andrew Strauss,/a/img/v1/152x152/i1/c156726/sir-andrew-strauss.jpg," Mar 02, 1977 (44 years) "," Johannesburg, Transvaal, South Africa ", 5 ft 11 in , Batsman , Left Handed Bat , Left-arm medium 
169,Tatenda Taibu,/a/img/v1/152x152/i1/c153461/tatenda-taibu.jpg," May 14, 1983 (38 years) ", Harare , 5 ft 5 in , WK-Batsman , Right Handed Bat , Right-arm offbreak 
170,Elton Chigumbura,/a/img/v1/152x152/i1/c148346/elton-chigumbura.jpg," Mar 14, 1986 (35 years) "," Kwekwe, Midlands ", -- , Bowling Allrounder , Right Handed Bat , Right-arm medium 
174,Stuart Matsikenyeri,/a/img/v1/152x152/i1/c155193/stuart-matsikenyeri.jpg," May 03, 1983 (38 years) ", Harare , -- , Batting Allrounder , Right Handed Bat , Right-arm offbreak 
175,Tawanda Mupariwa,/a/img/v1/152x152/i1/c153462/tawanda-mupariwa.jpg," Apr 16, 1985 (36 years) ", Bulawayo , -- , Bowler , Right Handed Bat , Right-arm fast-medium 
176,Mluleki Nkala,/a/img/v1/152x152/i1/c153332/mluleki-nkala.jpg," Apr 01, 1981 (40 years) ", Bulawayo , -- , Bowler , Right Handed Bat , Right-arm fast-medium 
178,Ed Rainsford,/a/img/v1/152x152/i1/c153299/ed-rainsford.jpg," Dec 14, 1984 (36 years) "," Kadoma, Mashonaland ", -- , Bowler , Right Handed Bat , Right-arm fast-medium 
179,Vusi Sibanda,/a/img/v1/152x152/i1/c153272/vusi-sibanda.jpg," Oct 10, 1983 (38 years) "," Highfields, Harare ", -- , Batsman , Right Handed Bat , Right-arm medium 
180,Brendan Taylor,/a/img/v1/152x152/i1/c155186/brendan-taylor.jpg," Feb 06, 1986 (35 years) ", Harare , -- , WK-Batsman , Right Handed Bat , Right-arm offbreak 
181,Prosper Utseya,/a/img/v1/152x152/i1/c153322/prosper-utseya.jpg," Mar 26, 1985 (36 years) ", Harare , -- , Bowling Allrounder , Right Handed Bat , Right-arm offbreak 
182,Mark Vermeulen,/a/img/v1/152x152/i1/c153343/mark-vermeulen.jpg," Mar 02, 1979 (42 years) ", Salisbury , -- , Batting Allrounder , Right Handed Bat , Right-arm offbreak 
183,Aftab Ahmed,/a/img/v1/152x152/i1/c155884/aftab-ahmed.jpg," Nov 10, 1985 (35 years) ", Chittagong , -- , Batsman , Right Handed Bat , Right-arm medium 
184,Nafees Iqbal,/a/img/v1/152x152/i1/c182026/nafees-iqbal.jpg," Oct 31, 1985 (35 years) ", Chittagong , -- , Batsman , Right Handed Bat , Right-arm medium 
185,Nazmul Hossain,/a/img/v1/152x152/i1/c182026/nazmul-hossain.jpg," Oct 05, 1987 (34 years) "," Hobigonj, Bangladesh ", -- , Bowler , Right Handed Bat , Right-arm fast-medium 
186,Steve Tikolo,/a/img/v1/152x152/i1/c154449/steve-tikolo.jpg," Jun 25, 1971 (50 years) ", Nairobi , -- , Batting Allrounder , Right Handed Bat ," Kenya, Africa XI "
188,Ragheb Aga,/a/img/v1/152x152/i1/c154450/ragheb-aga.jpg," Jul 10, 1984 (37 years) ", Kenya , -- , Bowling Allrounder , Right Handed Bat , Right-arm fast-medium 
189,Hitesh Modi,/a/img/v1/152x152/i1/c154409/hitesh-modi.jpg," Oct 13, 1971 (50 years) ", Kisumu , -- , Captain , Left Handed Bat , Right-arm offbreak 
190,Thomas Odoyo,/a/img/v1/152x152/i1/c153980/thomas-odoyo.jpg," May 12, 1978 (43 years) ", Nairobi , -- , Bowling Allrounder , Right Handed Bat , Right-arm fast-medium 
191,Peter Ongondo,/a/img/v1/152x152/i1/c154404/peter-ongondo.jpg," Feb 10, 1977 (44 years) "," Nairobi, Kenya ", -- , Bowler , Right Handed Bat , Right-arm fast-medium 
192,Lameck Onyango,/a/img/v1/152x152/i1/c154405/lameck-onyango.jpg," Sep 22, 1973 (48 years) ", Nairobi , -- , Bowler , Right Handed Bat , Right-arm medium 
193,Kennedy Otieno,/a/img/v1/152x152/i1/c153988/kennedy-otieno.jpg," Mar 11, 1972 (49 years) ", Nairobi , -- , Bowler , Right Handed Bat , Kenya 
194,Morris Ouma,/a/img/v1/152x152/i1/c153982/morris-ouma.jpg," Nov 08, 1982 (38 years) ", Kiambli , -- , WK-Batsman , Right Handed Bat ," Kenya, Africa XI "
196,Malhar Patel,/a/img/v1/152x152/i1/c154406/malhar-patel.jpg," Nov 27, 1983 (37 years) ", Kenya , -- , Batting Allrounder , Right Handed Bat , Kenya 
197,Ravi Shah,/a/img/v1/152x152/i1/c182026/ravi-shah.jpg," Aug 28, 1972 (49 years) ", Nairobi , -- , Batting Allrounder , Right Handed Bat , Right-arm fast-medium 
198,Tony Suji,/a/img/v1/152x152/i1/c154399/tony-suji.jpg," Feb 05, 1976 (45 years) ", Nairobi , -- , Batting Allrounder , Right Handed Bat , Right-arm medium 
201,Brendon McCullum,/a/img/v1/152x152/i1/c156149/brendon-mccullum.jpg," Sep 27, 1981 (40 years) "," Dunedin, Otago ", -- , WK-Batsman , Right Handed Bat ," New Zealand, Kolkata Knight Riders, New South Wales, Otago, Sussex, Kochi Tuskers Kerala, Brisbane Heat, Chennai Super Kings, Warwickshire, Gujarat Lions, Trinbago Knight Riders, Middlesex, Lahore Qalandars, Marylebone Cricket Club, Joburg Giants, Rangpur Riders, Royal Challengers Bangalore, Kandahar Knights, Rajputs, Toronto Nationals, Glasgow Giants "
202,Kyle Mills,/a/img/v1/152x152/i1/c154552/kyle-mills.jpg," Mar 15, 1979 (42 years) ", Auckland , -- , Bowler , Right Handed Bat , Right-arm fast-medium 
203,Michael Papps,/a/img/v1/152x152/i1/c151505/michael-papps.jpg," Jul 02, 1979 (42 years) "," Christchurch, Canterbury ", -- , Batsman , Right Handed Bat ," New Zealand, Wellington "
204,Daryl Tuffey,/a/img/v1/152x152/i1/c154507/daryl-tuffey.jpg," Jun 11, 1978 (43 years) "," Milton, Otago ", -- , -- , Right Handed Bat , Right-arm fast-medium 
206,Azhar Mahmood,/a/img/v1/152x152/i1/c155937/azhar-mahmood.jpg," Feb 28, 1975 (46 years) "," Rawalpindi, Punjab ", -- , Bowling Allrounder , Right Handed Bat , Right-arm fast-medium 
207,Graeme Smith,/a/img/v1/152x152/i1/c157277/graeme-smith.jpg," Feb 01, 1981 (40 years) "," Johannesburg, Transvaal ", 6 ft 3 in (191 cm) , Batsman , Left Handed Bat , Right-arm offbreak 
208,Mark Boucher,/a/img/v1/152x152/i1/c157815/mark-boucher.jpg," Dec 03, 1976 (44 years) "," East London, Cape Province ", 178cm , WK-Batsman , Right Handed Bat , Right-arm medium 
209,Nicky Boje,/a/img/v1/152x152/i1/c157705/nicky-boje.jpg," Mar 20, 1973 (48 years) "," Bloemfontein, Orange Free State ", -- , Batting Allrounder , Left Handed Bat , Left-arm orthodox 
211,Jean-Paul Duminy,/a/img/v1/152x152/i1/c170693/jean-paul-duminy.jpg," Apr 14, 1984 (37 years) "," Strandfontein, Cape Town, Cape Province ", -- , Batting Allrounder , Left Handed Bat , Right-arm offbreak 
212,Herschelle Gibbs,/a/img/v1/152x152/i1/c157324/herschelle-gibbs.jpg," Feb 23, 1974 (47 years) "," Green Point, Cape Town, Cape Province ", 5 ft 8 in (173 cm) , Batsman , Right Handed Bat ," South Africa, Cape Cobras, Deccan Chargers, Yorkshire, Glamorgan, Perth Scorchers, Khulna Royal Bengals, Mumbai Indians, Durham, Saint Lucia Kings, Australian Legends XI, Leo Lions, South Africa Legends "
213,Jacques Kallis,/a/img/v1/152x152/i1/c157423/jacques-kallis.jpg," Oct 16, 1975 (46 years) "," Pinelands, Cape Town, Cape Province ", 5 ft 11 in , Batting Allrounder , Right Handed Bat , Right-arm fast-medium 
215,Charl Langeveldt,/a/img/v1/152x152/i1/c182026/charl-langeveldt.jpg," Dec 17, 1974 (46 years) "," Stellenbosch, Cape Province ", -- , -- , Right Handed Bat , Right-arm fast-medium 
216,Makhaya Ntini,/a/img/v1/152x152/i1/c159980/makhaya-ntini.jpg," Jul 06, 1977 (44 years) "," Mdingi, nr King William's Town, Cape Province ", -- , -- , Right Handed Bat , Right-arm fast 
218,Shaun Pollock,/a/img/v1/152x152/i1/c157685/shaun-pollock.jpg," Jul 16, 1973 (48 years) "," Port Elizabeth, Cape Province ", 6 ft 3 in , Bowling Allrounder , Right Handed Bat , Right-arm fast-medium 
219,Jacques Rudolph,/a/img/v1/152x152/i1/c157707/jacques-rudolph.jpg," May 04, 1981 (40 years) "," Springs, Transvaal ", -- , Batsman , Left Handed Bat , Right-arm legbreak 
