Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
HM Amla (SA/World),2009-2018,44,44,6,1277,97*,33.60,967,132.05,0,8,2,146,26,
GC Wilson (IRE),2008-2020,81,68,8,1268,65*,21.13,1212,104.62,0,3,4,108,20,
RD Berrington (SCOT),2008-2019,61,54,10,1247,100,28.34,967,128.95,1,3,6,117,36,
BN Cooper (NL),2013-2021,56,53,11,1230,91*,29.28,984,125.00,0,9,6,116,38,
DJ Bravo (WI),2006-2021,84,69,16,1229,66*,23.18,1063,115.61,0,4,5,71,54,
NLTC Perera (ICC/SL/World),2010-2021,84,74,22,1204,61,23.15,794,151.63,0,3,8,88,64,
JJ Roy (ENG),2014-2021,48,48,0,1193,78,24.85,819,145.66,0,6,6,125,54,
Yuvraj Singh (INDIA),2007-2017,58,51,9,1177,77*,28.02,863,136.38,0,8,1,77,74,
KP Pietersen (ENG),2005-2013,37,36,5,1176,79,37.93,831,141.51,0,7,1,119,32,
AD Mathews (SL),2009-2021,78,63,18,1148,81*,25.51,975,117.74,0,5,1,73,38,
JM Bairstow (ENG),2011-2021,57,51,10,1143,86*,27.87,834,137.05,0,7,4,106,47,
DJ Malan (ENG),2017-2021,30,30,4,1123,103*,43.19,806,139.33,1,11,0,116,39,
WTS Porterfield (IRE),2008-2018,61,59,6,1079,72,20.35,971,111.12,0,3,5,120,23,
Soumya Sarkar (BDESH),2015-2021,56,56,3,1077,68,20.32,844,127.60,0,5,8,108,41,
Najibullah Zadran (AFG),2012-2021,63,54,22,1060,72*,33.12,745,142.28,0,4,2,69,57,
CS MacLeod (SCOT),2009-2019,49,47,7,1042,74,26.05,905,115.13,0,7,4,93,21,
MP O'Dowd (NL),2015-2021,40,39,3,1038,133*,28.83,829,125.21,1,6,0,104,26,
Mohammad Rizwan (PAK),2015-2021,41,32,11,1021,104*,48.61,791,129.07,1,8,3,94,28,
Samiullah Shinwari (AFG),2010-2020,64,56,10,1013,61,22.02,858,118.06,0,2,2,76,37,
Fakhar Zaman (PAK),2017-2021,51,47,1,1006,91,21.86,738,136.31,0,5,3,110,34,
A Balbirnie (IRE),2015-2021,46,42,2,1000,83,25.00,773,129.36,0,4,3,120,13,
Kamran Akmal (PAK),2006-2017,58,53,6,987,73,21.00,825,119.63,0,5,7,100,31,
HG Munsey (SCOT),2015-2019,38,36,3,987,127*,29.90,640,154.21,1,5,4,114,45,
CL White (AUS),2007-2014,47,44,14,984,85*,32.80,740,132.97,0,5,3,71,44,
GC Smith (SA),2005-2011,33,33,2,982,89*,31.67,770,127.53,0,5,1,123,26,
Shaiman Anwar (UAE),2014-2019,32,32,3,971,117*,33.48,770,126.10,1,6,1,75,43,
Sabbir Rahman (BDESH),2014-2019,44,43,5,946,80,24.89,783,120.81,0,4,2,89,28,
SC Williams (ZIM),2006-2021,47,47,5,945,66,22.50,736,128.39,0,6,4,90,27,
BRM Taylor (ZIM),2006-2021,45,45,6,934,75*,23.94,790,118.22,0,6,5,93,24,
G Gambhir (INDIA),2007-2012,37,36,2,932,75,27.41,783,119.02,0,7,2,109,10,
ADS Fletcher (WI),2008-2021,52,49,5,919,84*,20.88,833,110.32,0,6,6,65,47,
E Chigumbura (ZIM),2006-2020,57,56,9,893,54*,19.00,635,140.62,0,3,6,61,53,
JE Root (ENG),2012-2019,32,30,5,893,90*,35.72,707,126.30,0,5,2,92,16,
RR Hendricks (SA),2014-2021,33,33,0,881,74,26.69,717,122.87,0,6,2,104,14,
LD Chandimal (SL),2010-2021,57,50,5,868,58,19.28,829,104.70,0,5,0,76,17,
Sarfaraz Ahmed (PAK),2010-2021,60,41,12,812,89*,28.00,641,126.67,0,3,2,79,15,
W Barresi (NL),2012-2019,42,41,6,799,75*,22.82,695,114.96,0,4,3,69,21,
P Khadka (NEPAL),2014-2020,33,32,3,799,106*,27.55,624,128.04,1,4,3,82,26,
SPD Smith (AUS),2010-2020,45,37,8,794,90,27.37,613,129.52,0,4,1,66,21,
Misbah-ul-Haq (PAK),2007-2012,39,34,13,788,87*,37.52,715,110.20,0,3,2,45,26,
Rohan Mustafa (UAE),2014-2020,43,42,2,766,77,19.15,625,122.56,0,3,4,91,22,
Muhammad Usman (UAE),2016-2020,39,36,5,765,89*,24.67,640,119.53,0,3,3,65,24,
LJ Wright (ENG),2007-2014,51,45,5,759,99*,18.97,554,137.00,0,4,9,68,31,
DJ Hussey (AUS),2008-2012,39,36,3,756,88*,22.90,623,121.34,0,3,4,41,34,
HE van der Dussen (SA),2018-2021,27,26,5,756,74*,36.00,561,134.75,0,5,1,45,34,
MH Cross (SCOT),2013-2019,43,35,6,755,66*,26.03,593,127.31,0,5,3,77,22,
SJ Myburgh (NL),2012-2019,33,32,2,741,71*,24.70,635,116.69,0,5,6,82,22,
Nizakat Khan (HKG),2014-2020,43,41,0,729,62,17.78,583,125.04,0,2,5,68,24,
J Charles (WI),2011-2016,34,33,0,724,84,21.93,595,121.68,0,4,4,84,26,
MEK Hussey (AUS),2005-2012,38,30,11,721,60*,37.94,529,136.29,0,4,1,58,25,
AD Russell (WI),2011-2021,60,52,18,716,51,21.05,458,156.33,0,1,7,40,60,
RS Bopara (ENG),2008-2014,38,35,10,711,65*,28.44,599,118.69,0,3,0,54,17,
MK Pandey (INDIA),2015-2020,39,33,17,709,79*,44.31,562,126.15,0,3,2,49,19,
Syed Aziz (MAL),2019-2021,27,26,4,705,87,32.04,532,132.51,0,6,2,69,28,
CK Kapugedera (SL),2006-2017,43,38,7,703,50,22.67,591,118.95,0,1,0,58,25,
Jatinder Singh (OMAN),2015-2020,28,28,3,697,68*,27.88,611,114.07,0,3,1,72,8,
TL Seifert (NZ),2018-2021,35,32,4,695,84*,24.82,522,133.14,0,5,2,57,37,
CO Obuya (KENYA),2007-2019,35,33,6,691,75*,25.59,649,106.47,0,4,3,47,17,
Virandeep Singh (MAL),2019-2021,25,25,1,684,87,28.50,609,112.31,0,3,1,63,24,
G Malla (NEPAL),2014-2021,32,29,1,673,107,24.03,530,126.98,1,1,1,59,31,
TP Ura (PNG),2015-2019,23,23,5,671,107*,37.27,476,140.96,1,4,0,54,31,
CJ Chibhabha (ZIM),2006-2020,36,35,0,667,67,19.05,609,109.52,0,5,4,78,13,
JH Kallis (SA),2005-2012,25,23,4,666,73,35.05,558,119.35,0,5,0,56,20,
Liton Das (BDESH),2015-2021,33,32,1,646,61,20.83,482,134.02,0,4,3,62,25,
DJM Short (AUS),2018-2020,23,23,2,642,76,30.57,540,118.88,0,4,1,71,15,
PW Borren (NL),2008-2017,43,38,5,638,57,19.33,524,121.75,0,1,2,60,18,
D Ramdin (WI),2006-2019,71,50,16,636,55*,18.70,551,115.42,0,1,3,51,19,
Kamran Khan (QAT),2019-2020,21,21,1,630,88,31.50,468,134.61,0,5,0,50,39,
ST Jayasuriya (SL),2006-2011,31,30,3,629,88,23.29,487,129.15,0,4,4,76,23,
MR Swart (NL),2012-2016,26,25,2,621,89,27.00,537,115.64,0,4,1,53,16,
MS Wade (AUS),2011-2021,43,34,5,613,80,21.13,469,130.70,0,3,1,48,23,
MN Waller (ZIM),2011-2018,32,31,8,613,68,26.65,443,138.37,0,1,2,42,28,
Khawar Ali (OMAN),2015-2020,32,31,2,601,72*,20.72,603,99.66,0,2,2,66,14,
Muhammad Tanveer (QAT),2019-2020,22,22,6,600,64,37.50,458,131.00,0,6,1,49,31,
Salman Butt (PAK),2007-2010,24,23,2,595,74,28.33,551,107.98,0,3,1,66,10,
DJG Sammy (WI/World),2007-2017,68,52,18,587,42*,17.26,398,147.48,0,0,3,45,31,
PD Collingwood (ENG/World),2005-2017,36,33,2,583,79,18.80,459,127.01,0,3,3,37,24,
DR Smith (WI),2006-2015,33,32,0,582,72,18.18,474,122.78,0,3,1,62,31,
SB Styris (NZ),2005-2010,31,29,2,578,66,21.40,483,119.66,0,1,0,40,25,
R Sandaruwan (KUW),2019-2020,15,15,2,577,103,44.38,348,165.80,1,4,2,52,36,
JA Morkel (SA),2005-2015,50,38,11,572,43,21.18,402,142.28,0,0,1,29,39,
N Pooran (WI),2016-2021,39,33,5,572,58,20.42,478,119.66,0,2,2,42,31,
Hazratullah Zazai (AFG),2016-2020,15,15,1,570,162*,40.71,367,155.31,1,2,1,49,40,
MD Gunathilaka (SL),2016-2021,30,29,0,568,57,19.58,467,121.62,0,3,0,61,14,
PM Seelaar (NL),2008-2021,74,44,12,568,96*,17.75,498,114.05,0,1,1,41,12,
MD Shanaka (SL),2015-2021,46,44,8,567,54,15.75,528,107.38,0,2,7,36,29,
TH David (SGP),2019-2020,14,14,2,558,92*,46.50,352,158.52,0,4,0,50,26,
MJ Lumb (ENG),2010-2014,27,27,1,552,63,21.23,413,133.65,0,3,1,64,21,
Usman Ghani (AFG),2015-2021,23,23,2,551,73,26.23,496,111.08,0,3,0,55,15,
SS Iyer (INDIA),2017-2021,29,26,7,550,67,28.94,411,133.81,0,3,2,44,22,
Zeeshan Maqsood (OMAN),2015-2020,31,26,4,547,56,24.86,490,111.63,0,2,2,66,12,
MR Marsh (AUS),2011-2021,25,25,5,544,75,27.20,424,128.30,0,3,1,37,25,
Babar Hayat (HKG),2014-2017,24,24,4,541,122,27.05,433,124.94,1,2,2,45,20,
Karim Sadiq (AFG),2010-2018,36,36,0,538,72,14.94,493,109.12,0,1,4,61,10,
BKG Mendis (SL),2016-2021,29,29,0,538,79,18.55,423,127.18,0,5,3,44,23,
CR Ervine (ZIM),2010-2021,26,25,1,536,68*,22.33,525,102.09,0,3,1,51,14,
MS Chapman (HKG/NZ),2014-2021,30,28,4,535,63*,22.29,456,117.32,0,1,0,44,15,
RN ten Doeschate (NL),2008-2019,22,22,10,533,59,44.41,400,133.25,0,3,1,27,19,
C Kieswetter (ENG),2010-2012,25,25,1,526,63,21.91,470,111.91,0,3,2,47,23,
RR Patel (KENYA),2008-2019,30,26,4,526,55,23.90,414,127.05,0,3,1,31,31,
Sikandar Raza (ZIM),2013-2021,42,40,1,524,59,13.43,490,106.93,0,1,2,47,9,
SO Hetmyer (WI),2018-2021,35,29,3,522,61,20.07,443,117.83,0,2,3,29,28,
F Behardien (SA),2012-2018,38,30,14,518,64*,32.37,404,128.21,0,1,1,37,16,
RR Pant (INDIA),2017-2021,33,29,5,512,65*,21.33,416,123.07,0,2,3,39,21,
V Sibanda (ZIM),2007-2016,26,26,1,511,59,20.44,503,101.59,0,1,3,52,11,
Noor Ali Zadran (AFG),2010-2017,20,20,1,506,63,26.63,497,101.81,0,3,1,45,6,
GD Phillips (NZ),2017-2021,25,22,4,506,108,28.11,338,149.70,1,2,0,39,29,
Nawroz Mangal (AFG),2010-2017,32,32,4,505,65*,18.03,453,111.47,0,2,4,42,19,
KD Shah (HKG),2014-2020,35,31,5,502,79,19.30,456,110.08,0,3,5,44,12,
Imran Nazir (PAK),2007-2012,25,24,1,500,72,21.73,370,135.13,0,3,2,59,22,
TP Visee (NL),2015-2021,31,31,0,496,78,16.00,339,146.31,0,3,5,68,17,
Gulbadin Naib (AFG),2012-2020,48,39,11,495,56*,17.67,408,121.32,0,1,3,34,24,
Shafiqullah (AFG),2010-2019,46,42,12,494,51*,16.46,340,145.29,0,1,5,35,31,
MJ Clarke (AUS),2005-2010,34,28,5,488,67,21.21,473,103.17,0,1,2,29,10,
C de Grandhomme (NZ),2012-2020,36,34,7,487,59,18.03,340,143.23,0,3,4,27,29,
CJ Anderson (NZ),2012-2018,31,24,4,485,94*,24.25,351,138.17,0,2,3,30,26,
MG Erasmus (NAM),2019-2021,19,17,5,484,72,40.33,343,141.10,0,5,0,40,24,
HH Pandya (INDIA),2016-2021,49,33,8,484,42*,19.36,333,145.34,0,0,2,27,30,
N Dickwella (SL),2016-2021,28,27,1,480,68,18.46,366,131.14,0,1,2,61,9,
DS Airee (NEPAL),2018-2021,26,22,4,477,60,26.50,376,126.86,0,1,0,37,15,
JDP Oram (NZ),2005-2012,36,30,7,474,66*,20.60,339,139.82,0,2,3,38,22,
GJ Bailey (AUS/World),2012-2017,30,26,7,473,63,24.89,346,136.70,0,2,1,37,20,
DP Conway (NZ),2020-2021,14,11,3,473,99*,59.12,313,151.11,0,4,0,49,14,
Ahmed Faiz (MAL),2019-2021,22,20,1,470,58,24.73,402,116.91,0,1,1,43,12,
NJ O'Brien (IRE),2008-2016,30,28,2,466,50,17.92,475,98.10,0,1,0,40,7,
JEC Franklin (NZ),2006-2013,38,31,8,463,60,20.13,391,118.41,0,2,2,28,23,
RP Burl (ZIM),2018-2021,28,24,7,462,57*,27.17,384,120.31,0,1,0,24,22,
A Vala (PNG),2015-2019,26,24,4,460,68,23.00,427,107.72,0,2,0,39,13,
JD Ryder (NZ),2008-2014,22,21,1,457,62,22.85,358,127.65,0,3,2,47,18,
RE van der Merwe (NL/SA),2009-2019,43,29,12,454,75*,26.70,345,131.59,0,2,4,36,13,
Mohammad Ashraful (BDESH),2007-2013,23,23,0,450,65,19.56,356,126.40,0,2,2,48,11,
Rameez Shahzad (UAE),2016-2019,22,21,3,449,54,24.94,404,111.13,0,1,2,37,13,
Rahmanullah Gurbaz (AFG),2019-2021,13,13,0,446,87,34.30,310,143.87,0,3,2,36,28,
BA Stokes (ENG),2011-2021,34,28,6,442,47*,20.09,323,136.84,0,0,1,34,20,
Younis Khan (PAK),2006-2010,25,23,3,442,51,22.10,364,121.42,0,2,2,31,12,
MM Ali (ENG),2014-2021,38,35,8,437,72*,16.18,321,136.13,0,2,6,40,20,
S Chandramohan (SGP),2019-2020,15,15,1,436,66,31.14,366,119.12,0,3,3,44,16,
GJ Delany (IRE),2019-2020,23,21,3,436,89*,24.22,290,150.34,0,2,0,38,20,
H Klaasen (SA),2018-2021,23,23,5,434,69,24.11,299,145.15,0,3,1,30,21,
NR Kumar (CAN),2012-2019,18,16,2,434,83,31.00,336,129.16,0,3,1,34,13,
PL Mommsen (SCOT),2012-2016,24,19,7,419,68*,34.91,329,127.35,0,2,1,32,11,
SW Billings (ENG/ICC),2015-2021,32,29,4,417,87,16.68,325,128.30,0,2,1,39,12,
R Satheesan (ROM),2019-2021,13,11,3,417,92*,52.12,222,187.83,0,4,0,39,24,
SJ Baard (NAM),2019-2021,14,14,2,410,92,34.16,328,125.00,0,4,1,33,13,
T Bavuma (SA),2019-2021,16,16,1,410,72,27.33,323,126.93,0,1,2,37,10,
Aqib Ilyas (OMAN),2015-2019,22,22,4,408,60,22.66,356,114.60,0,2,1,47,7,
HT Tector (IRE),2019-2021,23,21,4,408,60,24.00,314,129.93,0,1,0,30,11,
MW Machan (SCOT),2013-2016,13,13,3,407,67*,40.70,318,127.98,0,3,0,37,7,
WU Tharanga (SL),2006-2018,26,26,1,407,47,16.28,330,123.33,0,0,3,42,12,
DM de Silva (SL),2015-2021,20,19,2,406,62,23.88,369,110.02,0,2,0,32,6,
EC Joyce (ENG/IRE),2006-2014,18,15,3,405,78*,33.75,431,93.96,0,1,0,30,5,
TLW Cooper (NL),2012-2016,18,17,3,404,72*,28.85,306,132.02,0,2,2,38,16,
SA Edwards (NL),2018-2021,33,26,8,402,42*,22.33,293,137.20,0,0,1,39,8,
BJ Haddin (AUS),2006-2014,34,29,6,402,47,17.47,351,114.52,0,0,2,30,13,
RT Ponting (AUS),2005-2009,17,16,2,401,98*,28.64,302,132.78,0,2,2,41,11,
HH Gibbs (SA),2005-2010,23,23,1,400,90*,18.18,318,125.78,0,3,4,45,12,
S Davizi (CZK-R),2019-2021,10,10,0,399,101,39.90,297,134.34,1,3,1,38,15,
KD Karthik (ICC/INDIA),2006-2019,32,26,14,399,48,33.25,278,143.52,0,0,2,42,15,
Sharjeel Khan (PAK),2013-2021,19,18,1,397,59,23.35,299,132.77,0,2,0,53,14,
Hussain Talat (PAK),2018-2021,18,18,2,394,63,24.62,333,118.31,0,2,1,37,5,
V Sehwag (INDIA),2006-2012,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16,
Abdul Razzaq (PAK),2006-2013,32,29,10,393,46*,20.68,337,116.61,0,0,2,21,21,
Saber Zakhil (Belg),2019-2021,15,14,3,391,100*,35.54,229,170.74,1,1,2,20,30,
Rizwan Cheema (CAN),2008-2019,24,24,2,389,72,17.68,314,123.88,0,2,5,33,28,
AA Obanda (KENYA),2007-2019,30,28,2,381,79,14.65,362,105.24,0,1,5,49,7,
Tamoor Sajjad (QAT),2019-2020,16,15,4,380,68,34.54,280,135.71,0,1,1,31,15,
CJA Amini (PNG),2015-2019,23,18,4,377,60,26.92,324,116.35,0,2,2,16,13,
Mashrafe Mortaza (BDESH),2006-2017,54,39,11,377,36,13.46,277,136.10,0,0,6,28,23,
MP Stoinis (AUS),2015-2021,28,23,8,376,78,25.06,281,133.80,0,1,1,34,13,
AM Rahane (INDIA),2011-2016,20,20,2,375,61,20.83,331,113.29,0,1,2,32,6,
Mohammad Naim (BDESH),2019-2021,12,12,1,374,81,34.00,315,118.73,0,2,1,42,7,
J Rasu (VAN),2019-2019,13,13,0,374,74,28.76,338,110.65,0,2,0,27,16,
Nasir Hossain (BDESH),2011-2016,31,24,4,370,50*,18.50,326,113.49,0,2,2,30,7,
JW Jenner (JER),2019-2019,17,17,2,365,71,24.33,299,122.07,0,3,2,24,14,
Aizaz Khan (HKG),2014-2020,39,34,8,364,44,14.00,336,108.33,0,0,4,26,6,
PJ Moor (ZIM),2016-2019,21,19,4,364,92*,24.26,286,127.27,0,1,0,22,24,
Nasir Jamshed (PAK),2012-2013,18,18,1,363,56,21.35,320,113.43,0,2,1,34,12,
NS Dhaliwal (CAN),2019-2019,12,11,2,361,69,40.11,291,124.05,0,3,0,22,16,
L Ronchi (AUS/ICC/NZ),2008-2018,33,26,6,359,51*,17.95,256,140.23,0,1,5,30,14,
Aamir Kaleem (OMAN),2015-2020,28,23,4,357,46*,18.78,324,110.18,0,0,4,30,10,
AK Markram (SA),2019-2021,12,11,0,357,70,32.45,237,150.63,0,4,0,32,17,
S Bau (PNG),2016-2019,23,17,3,356,40*,25.42,338,105.32,0,0,1,21,11,
Anamul Haque (BDESH),2012-2015,13,13,2,355,58,32.27,301,117.94,0,1,1,38,12,
W Madhevere (ZIM),2020-2021,13,13,1,355,73,29.58,284,125.00,0,4,1,36,6,
Chirag Suri (UAE),2018-2020,12,12,2,352,75,35.20,304,115.78,0,3,0,34,7,
R Mutumbami (ZIM),2015-2021,27,24,4,351,54,17.55,298,117.78,0,1,2,22,17,
OA Shah (ENG),2007-2009,17,15,1,347,55*,24.78,284,122.18,0,1,0,26,13,
DM Bravo (WI),2010-2021,21,19,1,345,43*,19.16,324,106.48,0,0,3,28,13,
SO Tikolo (KENYA),2007-2013,15,15,3,345,56*,28.75,281,122.77,0,2,3,46,6,
Asif Ali (PAK),2018-2021,29,27,6,344,41*,16.38,278,123.74,0,0,1,15,19,
R Powell (WI),2017-2021,30,22,3,344,54,18.10,285,120.70,0,2,2,29,14,
CG Williams (NAM),2019-2021,16,15,3,344,81,28.66,276,124.63,0,2,1,29,11,
S Chanderpaul (WI),2006-2010,22,22,5,343,41,20.17,347,98.84,0,0,0,34,5,
JM Vince (ENG),2015-2019,12,12,0,340,59,28.33,275,123.63,0,1,0,34,9,
H Gori (CZK-R),2019-2020,11,11,0,337,66,30.63,255,132.15,0,1,1,36,17,
A Symonds (AUS),2005-2009,14,11,4,337,85*,48.14,199,169.34,0,2,2,33,10,
N Davin (NAM),2019-2019,16,16,1,335,54,22.33,216,155.09,0,1,1,33,15,
MJ Santner (NZ),2015-2021,52,37,15,335,37,15.22,264,126.89,0,0,4,24,11,
Faisal Javed (QAT),2019-2019,15,15,0,330,61,22.00,212,155.66,0,2,1,45,11,
Imad Wasim (PAK),2015-2021,52,36,11,328,47,13.12,224,146.42,0,0,6,34,8,
SR Thompson (IRE),2014-2019,41,30,8,328,56,14.90,254,129.13,0,1,1,23,14,
Mohamed Rishwan (Mald),2019-2020,14,13,0,327,67,25.15,312,104.80,0,3,0,29,15,
RJ Nicol (NZ),2010-2013,21,19,0,327,58,17.21,296,110.47,0,2,2,33,11,
RR Rossouw (SA),2014-2016,15,14,3,327,78,29.72,237,137.97,0,2,2,29,12,
Yasir Ali (ESP),2019-2020,11,11,4,325,80*,46.42,280,116.07,0,2,1,23,15,
JDS Neesham (NZ),2012-2021,29,22,7,324,48*,21.60,206,157.28,0,0,2,28,19,
LE Bosman (SA),2006-2010,14,14,1,323,94,24.84,219,147.48,0,3,2,27,20,
Anshuman Rath (HKG),2015-2017,20,19,2,321,44,18.88,344,93.31,0,0,1,31,2,
N Vanua (PNG),2015-2019,25,22,8,321,54,22.92,211,152.13,0,1,4,12,23,
B Bhandari (NEPAL),2014-2021,35,27,7,319,58*,15.95,292,109.24,0,2,1,24,12,
TM Head (AUS),2016-2018,16,15,3,319,48*,26.58,245,130.20,0,0,0,19,10,
Bakhtiar Tahiri (BUL),2020-2021,12,11,1,317,66,31.70,271,116.97,0,1,0,31,15,
BDH Stevens (JER),2019-2019,17,17,1,316,44,19.75,315,100.31,0,0,1,30,6,
MC Henriques (AUS),2009-2021,19,16,4,315,62*,26.25,239,131.79,0,2,0,14,14,
Manpreet Singh (SGP),2019-2020,15,14,2,312,42*,26.00,267,116.85,0,0,0,21,6,
N Nipiko (VAN),2019-2019,14,14,2,312,62,26.00,297,105.05,0,2,1,16,13,
Shaheryar Butt (Belg),2019-2021,11,10,3,311,125*,44.42,191,162.82,1,1,1,22,21,
CR Brathwaite (WI),2011-2019,41,27,6,310,37*,14.76,274,113.13,0,0,3,13,22,
S Vesawkar (NEPAL),2014-2019,17,16,3,310,40,23.84,313,99.04,0,0,0,25,7,
JJ Atkinson (HKG),2014-2020,17,16,2,309,53,22.07,277,111.55,0,2,3,31,9,
ML Hayden (AUS),2005-2007,9,9,3,308,73*,51.33,214,143.92,0,4,0,37,13,
Waqas Barkat (HKG),2014-2020,30,25,3,307,37,13.95,333,92.19,0,0,3,25,0,
S Wickramasekara (CZK-R),2019-2021,13,12,2,307,104*,30.70,184,166.84,1,2,0,21,23,
Razmal Shigiwal (Aut),2019-2021,12,10,2,306,70,38.25,224,136.60,0,3,0,18,15,
NJ Ferraby (JER),2019-2019,14,14,1,303,81*,23.30,257,117.89,0,1,2,38,2,
NL McCullum (NZ),2007-2016,63,41,15,299,36*,11.50,297,100.67,0,0,4,19,8,
RR Sarwan (WI),2007-2010,18,16,3,298,59,22.92,286,104.19,0,2,1,19,6,
CJ Jordan (ENG),2014-2021,65,38,18,296,36,14.80,222,133.33,0,0,2,21,14,
L Siaka (PNG),2015-2019,26,22,2,296,39,14.80,271,109.22,0,0,4,26,7,
CA Lynn (AUS),2014-2018,18,16,1,291,44,19.40,221,131.67,0,0,1,28,14,
HDRL Thirimanne (SL),2012-2016,26,20,2,291,44,16.16,267,108.98,0,0,1,27,5,
GH Dockrell (IRE),2010-2021,79,39,17,290,34*,13.18,247,117.40,0,0,4,16,8,
Haroon Arshad (HKG),2019-2020,17,15,4,289,68,26.27,213,135.68,0,1,0,22,9,
AN Kervezee (NL),2009-2012,10,10,1,289,58*,32.11,262,110.30,0,2,0,19,6,
IA Karim (KENYA),2013-2019,16,16,3,286,71*,22.00,299,95.65,0,2,2,30,2,
JP Kotze (NAM),2019-2021,15,15,1,286,101*,20.42,238,120.16,1,0,1,23,15,
RW Chakabva (ZIM),2008-2021,18,18,1,285,48,16.76,204,139.70,0,0,5,18,17,
A Bagai (CAN),2008-2013,9,9,2,284,67*,40.57,249,114.05,0,2,0,27,0,
Mohammad Shahzad (UAE),2015-2017,20,20,2,281,52,15.61,239,117.57,0,1,2,25,11,
JJ Smit (NAM),2019-2021,15,12,3,281,59,31.22,173,162.42,0,1,0,14,18,
Aminuddin Ramly (MAL),2019-2021,23,21,4,280,41,16.47,189,148.14,0,0,1,13,20,
TC Bruce (NZ),2017-2020,17,17,2,279,59*,18.60,228,122.36,0,2,2,24,7,
K Bhurtel (NEPAL),2021-2021,5,5,1,278,77,69.50,198,140.40,0,4,0,24,16,
Mohammed Rizlan (QAT),2019-2020,22,18,7,276,38*,25.09,277,99.63,0,0,1,14,13,
TAM Siriwardana (SL),2015-2017,22,19,3,275,42,17.18,208,132.21,0,0,4,16,12,
AC Gilchrist (AUS),2005-2008,13,13,1,272,48,22.66,192,141.66,0,0,0,27,13,
Amjad Javed (UAE),2014-2017,22,18,3,271,76,18.06,242,111.98,0,1,1,17,15,
MV Boucher (SA),2005-2010,25,21,6,268,36*,17.86,275,97.45,0,0,0,22,2,
Karim Janat (AFG),2016-2021,27,18,2,268,53,16.75,237,113.08,0,1,2,20,12,
Sohaib Maqsood (PAK),2013-2021,24,21,2,268,37,14.10,230,116.52,0,0,2,19,11,
V Vijh (LUX),2019-2021,12,12,3,267,64*,29.66,278,96.04,0,1,0,23,4,
Ravinderpal Singh (CAN),2019-2019,12,10,2,266,101,33.25,177,150.28,1,1,1,13,19,
PK Matautaava (VAN),2019-2019,10,10,0,265,103,26.50,156,169.87,1,1,2,19,20,
S Muniandy (MAL),2019-2021,28,24,9,265,28,17.66,194,136.59,0,0,2,18,14,
SR Taylor (USA),2019-2019,8,8,1,265,72,37.85,207,128.01,0,2,1,28,10,
DMW Rawlins (BMUDA),2019-2019,11,11,0,261,63,23.72,201,129.85,0,1,1,23,15,
Shahid Wasif (HKG),2016-2020,18,17,4,261,50,20.07,233,112.01,0,1,1,20,8,
Adnan Idrees (KUW),2019-2019,6,6,0,259,80,43.16,157,164.96,0,3,0,35,9,
Bilal Zalmai (Aut),2019-2021,8,7,1,259,111*,43.16,148,175.00,1,0,0,23,16,
Faheem Ashraf (PAK),2017-2021,42,29,7,259,31,11.77,202,128.21,0,0,4,15,15,
T Taibu (ZIM),2007-2012,17,15,6,259,45*,28.77,257,100.77,0,0,2,19,2,
Adnan Ilyas (OMAN),2015-2016,12,11,0,258,54,23.45,218,118.34,0,1,0,16,8,
Najeeb Tarakai (AFG),2014-2019,12,12,0,258,90,21.50,210,122.85,0,1,1,21,13,
Haider Ali (PAK),2020-2021,15,14,1,256,66*,19.69,194,131.95,0,2,0,22,12,
I Udana (SL),2009-2021,35,25,11,256,84*,18.28,186,137.63,0,1,3,16,14,
SE Marsh (AUS),2008-2016,15,15,1,255,47*,18.21,248,102.82,0,0,2,15,10,
SF Mire (ZIM),2018-2019,9,8,0,253,94,31.62,196,129.08,0,2,0,23,13,
Sarfaraz Ali (BHR),2019-2020,8,8,0,253,59,31.62,148,170.94,0,2,0,24,19,
Zaheer Ibrahim (QAT),2019-2020,20,18,3,251,50,16.73,228,110.08,0,1,2,26,8,
FA Allen (WI),2018-2021,28,21,7,250,34,17.85,180,138.88,0,0,3,14,20,
WIA Fernando (SL),2019-2021,20,19,0,250,37,13.15,262,95.41,0,0,2,22,4,
DT Johnston (IRE),2008-2013,30,19,7,249,62,20.75,184,135.32,0,1,1,13,11,
TG Southee (NZ),2008-2021,83,35,13,249,39,11.31,174,143.10,0,0,4,16,16,
RV Uthappa (INDIA),2007-2015,13,12,2,249,50,24.90,211,118.00,0,1,1,26,6,
Muhammad Kashif (KUW),2019-2020,15,12,4,248,53,31.00,230,107.82,0,2,1,15,13,
CN Ackermann (NL),2019-2019,11,11,3,243,43*,30.37,196,123.97,0,0,0,18,5,
Shafiq Sharif (MAL),2019-2021,13,13,1,243,53,20.25,190,127.89,0,1,3,33,6,
IA De Silva (BUL),2020-2021,11,10,1,242,100*,26.88,201,120.39,1,0,1,20,13,
GSNFG Jayasuriya (SL),2015-2020,18,16,0,241,40,15.06,222,108.55,0,0,1,20,8,
UT Khawaja (AUS),2016-2016,9,9,0,241,58,26.77,182,132.41,0,1,0,31,5,
JN Malan (SA),2019-2021,11,11,0,241,55,21.90,186,129.56,0,1,1,25,11,
